"record_id","date","position","position_other","department_head","department_other","residence_program","residence_program_other","residence_year","university","gender","degree","age","research_tools","funding","collab_support","consumables","internet","journal_access","specialty_training","knowledge","professor_experience","research_incentives","skills_training","managerial_training","workload","work_hours","needed_positions","monitoring","reporting","oversight","excel_incentives","sanctions","incentive_additional","incentives_open_answer","infrastructure","staff_support","consulting_firms","training_workshops","academic_institutions","public_institutions","additional_support","external_support","information_flow","admin_decisions","research_exchange","travel_auth","irb_revision","institutional_processes","forums","research_importance","curriculum","abroad_training","research_proposal","research_choice","research_control","evaluating","topics","design","information_collection","new_ideas","paperwork","resource_access","time_management","admin_activitives","instructing","feedback","team_member","colleague_rapport","technical_equipment","limited_resources","change_coping","health_promotion","interpret_findings","report_writing","self_appraisal","practical_application","data_analysis","further_training","capacity_assessment_questionnaire_complete","position2"
"1",1,"5/1/2019","head of service","","radiology","","other","N/A","NA","USAC","male","2. masters or med specialty",36,3,1,1,1,1,1,5,5,5,4,3,2,2,2,"librarian, biostatistician, appropriate database",2,3,3,1,1,1,"promotion, time",1,1,2,3,3,3,"technology, a research department that is specifically for this and that is updated","new research facilities,  researcher´s promotions, funding, ",3,2,2,6,4,"acccess to systems, that institutions cease to access in exchange of benefits",6,1,1,2,3,3,3,4,3,4,4,3,4,3,4,3,5,5,4,6,4,4,4,4,3,3,3,3,3,"statistics, results application, results publication ",2,"dept head"
"2",2,"5/1/2019","specialty resident","",NA,"","radiology","","third year","Other","female","1. university",31,4,4,2,3,1,2,3,3,4,5,4,2,1,2,"epidemiology, statistician, resources (materials, internet) ",3,2,4,2,2,2,"Funding, consulting/colaborations, resources and materials",2,2,3,4,3,3,"capacity building, facilities, funding","statistician consultants, more support from epidemiology centers, consultants on research topics",3,2,2,2,3,"funding, updated medical records, updated statistics, support on areas of research toopics",2,3,4,3,3,3,3,5,3,4,5,3,6,5,2,2,2,4,7,7,7,5,2,4,6,7,4,4,4,"data analysis, research discussion, orientation in objectives ",2,"resident"
"3",3,"5/1/2019","head of service","","radiology","","other",NA,NA,"USAC","female","3. 2nd masters or med subspecialty",34,2,1,2,1,1,2,5,5,5,5,3,2,1,1,"biostatistician, researcher (with a masters specifically for research) ",2,2,3,1,1,1,"choosing the right research topic, funding, publication ",1,1,3,3,3,1,"time, teams, personnel ","tutorials, equipment ",3,3,6,3,4,"medical records on line (so they will not disappear), health insurance for patients or have access to better/appropriate diagnostic equiptments ",3,3,1,2,5,5,5,7,7,7,7,2,7,1,7,7,7,7,7,7,7,7,1,1,7,7,7,4,1,"cuantitative magnetic resonance (conventional), positron emission tomography, dual energy tomography. ",2,"dept head"
"4",4,"5/1/2019","head of service","","pathology","","other",NA,NA,"USAC","male","3. 2nd masters or med subspecialty",35,1,1,2,2,1,1,3,5,5,5,2,1,2,2,"research director,  biostatistician",2,2,3,1,1,1,"financing, technical personnel, time dedicated to research as part of working hours",4,2,3,3,3,2,"Internet access, indexed journals access","financial according to the type of research, academic forums to show work, scholarships opportunities",3,2,2,3,4,"online medical record, link RENAP-medical record",1,1,2,2,2,1,1,6,6,3,5,5,3,2,2,2,4,5,5,6,5,5,4,1,5,4,4,4,4,"research design, use of a program, data interpretation ",2,"dept head"
"5",5,"5/1/2019","head of department","","pathology","","other",NA,NA,"USAC","male","2. masters or med specialty",68,1,1,1,1,1,1,4,5,5,5,3,1,1,1,"library, online library with medical journals, biostatistician, epidemiologist",1,1,3,1,4,1,"financing, protected time, incentives",1,1,1,1,1,1,"library, internet, teachers","library, internet, journals",5,2,1,2,2,"classify medical records in hospitals, to be able to access institutions without so much formality",1,1,2,1,2,3,3,4,5,4,5,6,4,3,4,4,5,5,4,6,5,5,5,3,5,5,5,6,4,"molecular biology in pathology, biostatistics, research methods",2,"dept head"
"6",6,"5/1/2019","specialty resident","",NA,"","pathology","","first year","Other","female","1. university",31,3,3,3,4,2,1,2,3,4,5,5,3,2,4,NA,2,3,2,1,1,1,"protected time, financing, personalized supervision",3,3,2,3,2,2,"financing, equipment, personnel","State institutions related with the research topics, international exchange institutions",1,1,1,2,1,NA,3,2,2,4,2,2,2,5,5,4,6,6,5,6,6,5,4,3,6,7,5,5,6,6,6,5,5,6,6,"surgical pathology, hematology, cytology",0,"resident"
"7",7,"5/1/2019","head of service","","pathology","","other",NA,NA,"Other","female","2. masters or med specialty",60,1,1,1,1,1,1,4,4,4,5,1,1,1,2,"Computer engineer",1,1,2,1,6,6,"Recognition, equipment, technology, personnel",1,1,5,4,5,5,"Equipment, computer packages, internet, international journals access, scholarships","Scholarships, ease in national and international journals publications, personnel",3,3,3,3,3,"All of the above, online access to the department data",2,2,4,3,5,5,3,5,5,5,5,6,1,1,3,1,6,6,7,7,3,3,3,3,5,5,3,1,6,"Research methodologies in pathology, management and interpretation of data, national and international organizations that provide bases, exonomic contribution, scholarships ",2,"dept head"
"8",8,"5/1/2019","specialty resident","",NA,"","pathology","","fifth year","UFM","female","1. university",32,1,1,1,2,1,1,5,5,5,5,2,1,1,1,"Personnel in charge of research with knowledge, availability and sole responsability in research area for master's degrees. Virtual library to obtain updated journals and studies. Epidemiologist. Good databases and data record",1,1,1,1,1,1,"Time. Financing. Support and orientation towards the researcher. Highly trained research manager. ",1,1,1,1,6,6,"Unique and exclusive unit for research. Resources and technology to carry out research porjects. Take research with seriousness and professionalism","Resources and technology. Support to publish in journals. International databases",1,1,1,1,1,"Databases of clinics or specific departments. Digital files. Virtual library ",1,1,1,1,1,3,1,4,4,3,2,6,5,2,5,3,5,5,5,5,6,4,6,1,3,4,4,3,1,"Statistical tests. Application of final data to actual practice",2,"resident"
"9",9,"5/1/2019","specialty resident","",NA,"","pathology","","first year","USAC","female","1. university",30,1,1,2,4,1,4,5,5,5,5,3,2,2,2,"There is no digitized database. Biostatistician. Research specialist in each department",2,3,4,1,5,1,"Financing",3,3,4,5,5,5,"Financing. Specialized personnel in researchin each department","Promote the institutions. Improve conections",2,3,1,5,NA,"Digital network with clinical records. ",2,2,1,2,1,4,5,4,4,4,5,4,5,7,5,5,5,5,6,7,7,5,6,6,5,5,6,6,5,"Research designs. Statistic analysis. Feasibility",0,"resident"
"10",10,"5/1/2019","specialty resident","",NA,"","radiology","","first year","Other","male","1. university",32,1,2,5,1,1,2,3,4,5,4,2,2,1,1,"librarian, personal adviser, research facilities (desks, secretary, wifi, indexed journal access, printers) ",2,3,4,3,5,1,"protected time to be able to carry on research, research advisors ",1,1,2,4,1,6,"research facility, protected time, ¨available¨ research advisors, consultants ","research courses, training in statistical packages ",2,3,6,6,3,"quick  and feasible access to public information,  through agreements with other institutions ",1,1,1,1,5,5,3,6,4,5,5,5,6,5,4,4,6,5,7,7,7,5,5,3,4,5,5,6,5,"research methodology, data analysis through statistical packages ",2,"resident"
